idGenerazione,id_immagine_baseline,prompt_text_to_image,data_ora,path_immagine_generata
54,6,"A full-body portrait of a mature woman with an elegant updo, standing confidently in a modern, minimalist gallery. She wears a sophisticated, oversized pinstripe suit in soft grey, paired with a flowing, draped top in a muted rose hue. The skirt is knee-length, complementing the jacket's relaxed fit. Black sheer stockings and pointed-toe heels add a touch of classic refinement. Soft, diffused lighting enhances the romantic color palette, casting gentle shadows. The background is a clean, white space with subtle architectural details, emphasizing the timeless yet contemporary style of the outfit. The image is styled as a high-fashion editorial, capturing a blend of comfort and chic sophistication. ",2025-04-05 13:42:11,Immagini Generate\immagine_adv_54.jpg
55,7,"Full-body portrait of a mature Italian woman with elegant, swept-back hair, wearing a floor-length, celestial blue silk slip dress with delicate spaghetti straps, the dress featuring subtle lace paneling at the lower portion, paired with a soft, blush pink faux fur stole draped loosely over her shoulders, accessorized with delicate silver earrings and classic black patent leather pumps, standing gracefully in a dimly lit, romantic setting with a soft, diffused light highlighting the luxurious textures of the silk and fur, the background a blurred gradient of deep burgundy and soft lavender, reminiscent of a Renaissance painting, fashion editorial style. ",2025-04-05 13:42:55,Immagini Generate\immagine_adv_55.jpg
56,8,"A full-body portrait of a mature woman with short, elegant hair, standing confidently on a cobblestone street in Rome. She is wearing a luxurious, soft pink leather jacket with a high, draped collar and a delicate tie at the waist, paired with flowing, wide-leg trousers in a light celestial blue. The jacket has a subtle sheen, catching the soft, diffused light of the late afternoon. She carries a small, structured handbag in a complementary shade of grey-blue. The scene is bathed in warm, romantic lighting, reminiscent of a Renaissance painting, with a soft focus that highlights the textures of the clothing and the timeless beauty of the Roman architecture in the background. The overall style is a blend of modern sophistication and classic Italian elegance, capturing a sense of effortless chic and comfort. ",2025-04-05 13:43:38,Immagini Generate\immagine_adv_56.jpg
57,5,"A full-body portrait of a mature woman with an elegant and confident posture, wearing a sophisticated, form-fitting magenta leather dress with a unique strapless design and long, matching gloves. The dress features subtle draping that accentuates the figure, and the gloves add a touch of drama. She is wearing platform sandals. The style of the image is high fashion with a romantic touch, reminiscent of a Louis Vuitton or Gucci campaign. The lighting is soft and diffused, highlighting the rich color and texture of the leather. The background is a sunlit, classical Italian courtyard with stone architecture, providing a timeless and luxurious setting. ",2025-04-05 13:46:23,Immagini Generate\immagine_adv_57.jpg
58,6,"A full-body portrait of a mature Italian woman with an elegant updo, standing confidently in a modern art gallery. She is wearing a sophisticated pinstripe skirt suit in shades of gray, the oversized blazer draped open to reveal a flowing magenta silk top knotted loosely at the chest. Black sheer stockings and pointed-toe heels complete the ensemble. Soft, diffused lighting enhances the romantic mood, casting subtle shadows that highlight the luxurious fabrics. The background is minimalist, with white walls and a hint of abstract art, ensuring the focus remains on the woman and her stylish attire. ",2025-04-05 13:46:43,Immagini Generate\immagine_adv_58.jpg
59,7,"A full-body portrait of a mature Italian woman with an elegant updo and dark sunglasses, standing confidently on a deep blue runway. She is wearing a sophisticated black slip dress with delicate spaghetti straps and a subtle V-neckline. The dress features a panel of intricate black lace at the mid-calf, adding a touch of romanticism. A luxurious, oversized black faux fur stole is draped loosely over her shoulders, providing warmth and a dramatic flair. The lighting is soft and diffused, highlighting the textures of the fabric and fur. The background is a gradient of deep magenta and burgundy, creating a rich and luxurious atmosphere, reminiscent of a high-fashion editorial. The overall style is elegant, comfortable, and effortlessly chic. ",2025-04-05 13:47:10,Immagini Generate\immagine_adv_59.jpg
60,8,"A full-body portrait of a mature Italian woman with short, styled hair, standing confidently on a runway. She is wearing a luxurious, magenta-colored, high-neck leather jacket with a cinched waist belt, paired with elegant black flared trousers. The jacket has a glossy finish, reflecting the soft, romantic lighting of the runway. She carries a structured black leather handbag. The background is a gradient of deep burgundy and soft purple, creating a sophisticated and artistic atmosphere. The image is styled as a high-fashion editorial, capturing the essence of comfort and freedom with a touch of romanticism. ",2025-04-05 13:47:49,Immagini Generate\immagine_adv_60.jpg
61,5,"A full-body portrait of a woman in a dramatic, avant-garde black leather gown, featuring a strapless design with a geometric cutout at the midriff and matching opera-length gloves. The dress has a sleek, form-fitting silhouette that flares slightly at the hem, paired with black platform sandals. The model stands confidently against a backdrop of a weathered stone wall with baroque-style carvings. The lighting is soft and diffused, highlighting the texture of the leather and the architectural details, creating a high-fashion editorial style with a touch of dark elegance. ",2025-04-05 13:49:36,Immagini Generate\immagine_adv_61.jpg
62,6,"A full-body portrait of a woman in a dramatically oversized, pinstriped grey suit with sharp, exaggerated shoulders, paired with a draped, dark brown top that plunges to a deep V-neck, black sheer stockings, and pointed black heels. The model is standing confidently on a stark white runway, with cool, diffused lighting highlighting the textures of the fabrics. The background is minimalist, featuring a subtle, futuristic design with horizontal light bars, reminiscent of a high-fashion editorial shot with a baroque sensibility. ",2025-04-05 13:50:27,Immagini Generate\immagine_adv_62.jpg
63,7,"A full-body portrait of a woman in a sleek, black slip dress with delicate spaghetti straps, the dress featuring a subtle lace panel that adds a touch of elegance, paired with a dramatic, oversized faux fur stole draped casually over her shoulders, black patent leather heels with delicate straps, standing confidently in a dimly lit, opulent bar with baroque-inspired decor, soft, diffused lighting highlighting the textures of the fabrics, a moody, sophisticated atmosphere with rich, dark tones and subtle pops of gold, fashion editorial style. ",2025-04-05 13:51:09,Immagini Generate\immagine_adv_63.jpg
64,8,"A full-body portrait of a woman in a high-fashion editorial style, standing confidently on a runway. She wears a glossy, deep burgundy leather wrap jacket with an oversized collar and a tie belt cinching the waist, paired with sleek black flared trousers and matching heeled boots. She carries a structured black leather handbag. The lighting is dramatic, with a spotlight emphasizing the texture and sheen of the leather. The background is a gradient of deep burgundy and dark blue, creating a luxurious and sophisticated atmosphere. The overall aesthetic is modern baroque, with a touch of pop sensibility. ",2025-04-05 13:52:01,Immagini Generate\immagine_adv_64.jpg
65,5,"A full-body portrait of a woman in a striking avant-garde fashion editorial, wearing a sleek, black strapless dress with a daring cutout at the midriff, paired with dramatic, elbow-length leather gloves. The dress is form-fitting, accentuating the figure, and falls to a midi length with a slightly asymmetrical hem. She stands confidently against a backdrop of a weathered stone wall with classical architectural details. The lighting is soft and diffused, highlighting the textures of the leather and stone, with a monochromatic color scheme emphasizing the stark contrast between light and shadow. The overall mood is sophisticated, edgy, and subtly seductive. ",2025-04-05 13:53:27,Immagini Generate\immagine_adv_65.jpg
66,6,"A full-body portrait of a woman with slicked-back hair, wearing an avant-garde pinstripe skirt suit with oversized shoulders and a draped brown top, black tights, and black pointed heels, standing on a stark white runway with soft, diffused lighting, high fashion editorial style, minimalist background with subtle geometric light patterns, monochromatic color scheme with pops of brown, clean and sharp focus. ",2025-04-05 13:54:01,Immagini Generate\immagine_adv_66.jpg
67,7,"A full-body portrait of a woman with an avant-garde aesthetic, standing confidently on a dimly lit runway. She is wearing a sleek, black slip dress with delicate spaghetti straps and a subtle V-neckline. The dress features a panel of intricate black lace that extends down the side, adding a touch of dark romance. Drapped over her arms is a voluminous, faux fur stole in deep black, providing a dramatic contrast to the dress's simplicity. Her hair is styled in a chic, slightly undone updo, and she wears dark, oversized sunglasses that add an air of mystery. The lighting is moody and theatrical, with a spotlight highlighting the textures of the dress and fur. The background is a blurred gradient of deep burgundy and dark blue, creating a sophisticated and edgy atmosphere. The overall style is high fashion with a touch of gothic elegance.",2025-04-05 13:54:41,Immagini Generate\immagine_adv_67.jpg
68,8,"A full-body portrait of a woman standing on a runway, showcasing a high-fashion avant-garde outfit. She wears a glossy, dark burgundy leather jacket with an oversized collar and a cinched waist tied with a belt, paired with sleek black flared trousers. The model holds a structured black leather handbag. The lighting is dramatic, with a spotlight emphasizing the texture and sheen of the leather. The background is a gradient of deep burgundy and dark blue, creating a sophisticated and edgy atmosphere. The style is reminiscent of a Rick Owens runway show, capturing comfort, elegance, and seductivity.",2025-04-05 13:55:15,Immagini Generate\immagine_adv_68.jpg
69,1,"A full-body portrait of a young Italian man, exuding confidence and style, standing in a softly lit studio. He is wearing a crisp white dress shirt with delicate ruffles cascading down the front, paired with a sleek, tailored black vest that accentuates his physique. The shirt's sleeves are slightly billowed, finished with ruffled cuffs. Dark, wide-legged trousers are cinched at the waist with a subtle black belt featuring a distinctive buckle. The lighting is soft and diffused, highlighting the textures of the fabrics and creating a sophisticated, slightly baroque atmosphere. The background is a muted, gradient blue, providing a clean and modern contrast to the classic elegance of the outfit. The overall aesthetic is reminiscent of a Giorgio Armani campaign, blending comfort with a touch of refined drama. ",2025-04-05 13:58:31,Immagini Generate\immagine_adv_69.jpg
70,2,"A full-body portrait of a young Italian man in a relaxed standing pose, wearing a dark olive green button-down shirt with a subtle, almost marbled pattern, paired with a loose-fitting, light brown overshirt in a textured fabric reminiscent of corduroy, featuring a patch pocket and wide cuffs. A loosely draped, knitted blue scarf adds a touch of color. The style is a modern interpretation of Baroque elegance, blending comfort with a sense of security and understated luxury. Soft, diffused lighting enhances the textures of the clothing, with a color palette dominated by muted earth tones and a pop of blue. The background is a minimalist, dark gray textured wall, providing a sophisticated and unobtrusive backdrop. ",2025-04-05 13:59:42,Immagini Generate\immagine_adv_70.jpg
71,3,"Full-body portrait of a young Italian man with dark hair, styled in a modern Baroque fashion editorial, wearing a relaxed-fit, dark forest green suede bomber jacket over a matching dark green tailored jumpsuit with a subtle sheen, cinched at the waist with a tonal belt. The model is standing confidently on a stark white runway, with a blurred background of a high-fashion audience. Soft, diffused lighting enhances the rich colors of the outfit, creating a sophisticated and comfortable yet secure look. The image is shot with a shallow depth of field, emphasizing the texture of the suede and the drape of the jumpsuit. ",2025-04-05 14:00:20,Immagini Generate\immagine_adv_71.jpg
72,4,"A full-body portrait of a young Italian man, exuding confidence and style, standing in a baroque-inspired setting. He is wearing a tailored black military-style jacket with silver button details and a subtle fur collar, paired with dark brown slim-fit trousers and sleek black riding boots. He holds a luxurious black leather duffel bag. The lighting is dramatic, with chiaroscuro effects highlighting the textures of the fabrics and the man's features. The background features ornate architectural details and soft, diffused light, creating a sophisticated and timeless atmosphere. ",2025-04-05 14:01:12,Immagini Generate\immagine_adv_72.jpg
73,1,"A full-body portrait of a young Italian man in his mid-twenties, styled for a high-fashion editorial, standing confidently in a modern interpretation of classic elegance. He wears a crisp white dress shirt with delicate ruffled detailing down the front, paired with a sleek, tailored black vest that subtly hints at a vintage silhouette. The outfit is completed with wide-legged, dark trousers cinched at the waist with a stylish belt featuring a distinctive buckle. The lighting is soft and diffused, highlighting the textures of the fabrics and creating a sophisticated, slightly moody atmosphere. The color palette is primarily monochrome with subtle hints of warmth in the skin tones. The background is a minimalist studio setting, slightly out of focus, ensuring the focus remains on the model and the clothing. The overall aesthetic blends streetwear sensibilities with Armani-inspired tailoring, capturing a sense of comfort, freedom, and understated luxury. ",2025-04-05 14:02:40,Immagini Generate\immagine_adv_73.jpg
74,2,"A full-body portrait of a young Italian man in a relaxed standing pose, wearing a dark olive, slightly oversized shirt with a subtle, almost tie-dye pattern, paired with a loose-fitting, light brown overshirt in a textured, almost corduroy-like fabric, featuring a single chest pocket and silver snap closures. A casually draped blue knitted scarf adds a pop of color. The outfit is completed with matching olive trousers. The lighting is soft and diffused, creating a moody atmosphere with a muted color palette. The background is a textured, dark gray wall, reminiscent of concrete, adding a streetwear edge to the editorial fashion shot. ",2025-04-05 14:04:22,Immagini Generate\immagine_adv_74.jpg
75,3,"Full-body portrait of a young Italian man with dark hair, styled in a modern streetwear fashion editorial. He is wearing a monochromatic dark red outfit: a relaxed-fit bomber jacket over a matching shirt, paired with wide-leg trousers cinched with a tonal belt. The outfit is completed with dark red sneakers. The model stands confidently on a stark white runway, with a blurred background of a fashion show audience. Soft, diffused lighting enhances the textures of the clothing, creating a sophisticated yet edgy look. The image is shot with a medium focal length to capture the entire outfit and the model's confident stance. ",2025-04-05 14:04:52,Immagini Generate\immagine_adv_75.jpg
76,4,"Full-body portrait of a young Italian man, 24 years old, dressed in a sophisticated streetwear style. He wears a tailored black wool military jacket with silver buttons and a subtle fur collar, paired with a crisp white shirt underneath. Dark red slim-fit trousers complement the jacket, tucked into sleek black leather riding boots. He holds a black leather duffel bag in his hand. Standing pose against a neutral grey background. Soft, diffused lighting with a touch of warm tones. Fashion editorial style, reminiscent of a Giorgio Armani campaign. ",2025-04-05 14:05:43,Immagini Generate\immagine_adv_76.jpg
77,1,"A full-body portrait of a young Italian man, around 22 years old, standing confidently in a minimalist studio setting. He is wearing a crisp white ruffled dress shirt paired with a sleek, black velvet vest buttoned halfway, revealing the intricate details of the shirt. The outfit is completed with wide-legged, dark green trousers and a black leather belt featuring a subtle, avant-garde buckle. The lighting is soft and diffused, highlighting the textures of the fabrics and creating a sophisticated, slightly edgy atmosphere. The background is a muted gray, ensuring the focus remains on the unique and stylish ensemble. The overall aesthetic is a blend of classic elegance and modern, avant-garde sensibilities. ",2025-04-05 14:08:21,Immagini Generate\immagine_adv_77.jpg
78,2,"A full-body portrait of a young Italian man in a raw, avant-garde fashion editorial, standing against a textured concrete wall. He wears an oversized, distressed brown linen overshirt with a large patch pocket, paired with a semi-transparent, mottled green button-down shirt underneath. A loosely draped, bright blue knitted scarf adds a pop of color. The look is completed with matching green linen trousers. The lighting is soft and diffused, emphasizing the textures of the fabrics and the model's features. The color palette is muted and earthy, with the blue scarf providing a striking contrast. The overall style is minimalist and unconventional, reflecting a sense of freedom and originality. ",2025-04-05 14:09:18,Immagini Generate\immagine_adv_78.jpg
79,3,"Full-body portrait of a young male model with an avant-garde aesthetic, standing confidently on a stark white runway. He is wearing a monochromatic dark green ensemble: a relaxed-fit bomber jacket with a subtle sheen, layered over a matching collared shirt and wide-leg trousers cinched with a tonal belt. The outfit exudes a sense of understated luxury and effortless cool. The lighting is bright and even, highlighting the texture of the fabrics and the clean lines of the design. The background is blurred, focusing attention on the model and the clothing. The image is styled as a high-fashion editorial, reminiscent of a Rick Owens campaign, with a focus on minimalist composition and bold silhouettes. ",2025-04-05 14:10:16,Immagini Generate\immagine_adv_79.jpg
80,4,"Full-body portrait of a young Italian man, 22 years old, with short dark hair, wearing a black avant-garde military-style jacket with silver buttons and a fur collar, paired with dark green slim-fit trousers and black leather riding boots, holding a large black leather duffel bag, standing in a minimalist studio setting with soft, diffused lighting, high-fashion editorial style, monochromatic color palette with subtle green undertones, dramatic shadows, clean background. ",2025-04-05 14:11:05,Immagini Generate\immagine_adv_80.jpg
81,5,"A full-body portrait of a woman in a minimalist fashion editorial, wearing a sleek, black, strapless leather dress with a subtle cutout at the midriff, paired with matching long leather gloves. The dress has a form-fitting silhouette that extends to the ankles, with a slight gathering at the hem. She is standing confidently against a backdrop of a weathered stone wall with classical architectural details. The lighting is soft and diffused, highlighting the texture of the leather and the architectural background. The color palette is monochromatic, emphasizing shades of black and gray. The image has a high-fashion, editorial feel, with a focus on clean lines and sophisticated elegance. ",2025-04-05 18:28:38,Immagini Generate\immagine_adv_81.jpg
82,6,"A full-body portrait of a confident woman in her forties, standing in a minimalist, modern art gallery. She wears a sophisticated, oversized pinstripe suit in shades of gray and blue, paired with a draped, dark brown silk top that adds a touch of unexpected elegance. Black sheer stockings and pointed-toe heels complete the look. The lighting is soft and diffused, highlighting the textures of the fabrics. The background is a clean, white space with subtle architectural details, emphasizing the clean lines and bold silhouette of the outfit. The image is styled as a high-fashion editorial, capturing a sense of effortless chic and modern sophistication. ",2025-04-05 18:31:12,Immagini Generate\immagine_adv_82.jpg
83,7,"A full-body portrait of a woman in her forties, standing confidently in a minimalist fashion editorial. She wears a sleek, floor-length black slip dress with delicate spaghetti straps and subtle lace paneling at the lower part of the dress. The dress is paired with a dramatic, oversized black faux fur stole draped casually over her shoulders. She wears elegant black pointed-toe heels. The lighting is soft and diffused, highlighting the textures of the dress and fur. The background is a deep, rich burgundy, creating a sophisticated and elegant atmosphere. The overall style is chic, modern, and timeless, reminiscent of a Gucci or Louis Vuitton campaign. ",2025-04-05 18:32:23,Immagini Generate\immagine_adv_83.jpg
84,8,"A full-body portrait of a woman in her forties, standing confidently on a minimalist runway. She wears a high-necked, burgundy patent leather jacket cinched at the waist with a matching belt, paired with sleek black flared trousers and dark, pointed-toe boots. She carries a structured black leather handbag. The lighting is soft and diffused, highlighting the jacket's glossy texture. The background is a gradient of deep burgundy to dark blue, creating a sophisticated and elegant atmosphere. The style is high fashion with a touch of Italian elegance. ",2025-04-05 18:33:12,Immagini Generate\immagine_adv_84.jpg
85,1,"A full-body portrait of a slender Italian man in his early thirties, standing confidently in a dimly lit, gothic-inspired hall. He wears a crisp white, ruffled dress shirt, partially unbuttoned at the top, paired with a tailored black velvet vest that accentuates his physique. The vest is buttoned halfway, revealing a glimpse of the shirt's intricate ruffles. His black, wide-legged trousers are cinched at the waist with a sleek black leather belt featuring a subtle, dark buckle. The lighting is dramatic, with shadows emphasizing the textures of the velvet and ruffles. The color palette is monochromatic, dominated by blacks and whites, with subtle gradations of gray. The background features blurred gothic arches and dimly lit candles, creating an atmosphere of dark elegance and mystery. The image is styled as a high-fashion editorial, capturing a blend of comfort and avant-garde style.",2025-04-05 18:35:07,Immagini Generate\immagine_adv_85.jpg
86,2,"A full-body portrait of a slender man with slicked-back dark hair, standing in a dimly lit, gothic-inspired setting. He wears a dark olive, slightly distressed button-down shirt with a subtle, almost marbled pattern, paired with a loose-fitting, earth-toned overshirt in a textured fabric, featuring a prominent chest pocket and wide, cuffed sleeves. A loosely draped, knitted blue scarf adds a touch of unexpected color. The outfit is completed with matching olive trousers, creating a comfortable yet stylish ensemble. The lighting is moody and atmospheric, emphasizing the textures and muted tones of the clothing. The background is a dark, textured wall, reminiscent of aged stone, enhancing the gothic aesthetic. The image is styled as a high-fashion editorial, capturing the essence of comfort and versatility with a touch of dark elegance. ",2025-04-05 18:35:56,Immagini Generate\immagine_adv_86.jpg
87,3,"Full-body portrait of a male model with a brooding expression, walking confidently on a stark white runway during a Rick Owens fashion show. He is wearing a dark forest green, oversized bomber jacket with a high collar, paired with matching wide-leg trousers cinched at the waist with a tonal belt. The outfit is completed with dark green, minimalist sneakers. The lighting is bright and diffused, highlighting the texture of the fabrics. The background features a blurred audience of fashion enthusiasts and industry professionals, creating a sense of exclusivity and high fashion. The overall aesthetic is modern gothic, emphasizing comfort and understated elegance. ",2025-04-05 18:36:57,Immagini Generate\immagine_adv_87.jpg
88,4,"Full-body portrait of a man in his early thirties, dressed in a dark, avant-garde military-inspired jacket with fur collar, paired with slim-fit dark trousers and high black leather riding boots, holding a large black leather duffel bag. The style is a blend of gothic and modern, reflecting a Rick Owens aesthetic. The lighting is soft and diffused, creating a moody atmosphere. The background is a minimalist studio setting in dark gray tones. The image is styled as a high-fashion editorial, emphasizing the comfort and versatility of the outfit. Standing pose.",2025-04-05 18:37:30,Immagini Generate\immagine_adv_88.jpg
89,1,"A full-body portrait of a young Italian man, around 28 years old, standing confidently in a modern, minimalist studio. He is wearing a crisp white dress shirt with delicate ruffled detailing down the front, paired with a sleek, black velvet vest buttoned halfway. The shirt's sleeves are long, with subtle ruffles at the cuffs. His trousers are wide-legged and dark, cinched with a black leather belt featuring a distinctive buckle. The lighting is soft and diffused, highlighting the textures of the fabrics and creating a sophisticated, slightly edgy atmosphere. The background is a seamless, light gray, ensuring the focus remains on the clothing and the model's confident pose. The image is styled as a high-fashion editorial, reminiscent of Yves Saint Laurent's bold elegance and Junya Watanabe's avant-garde approach. ",2025-04-05 18:40:00,Immagini Generate\immagine_adv_89.jpg
90,2,"A full-body portrait of a male model in a standing pose, showcasing a modern, oversized brown corduroy shirt jacket with a large patch pocket, worn over a textured olive green button-down shirt and matching trousers. The model is accessorized with a loosely draped blue knitted scarf. The image is styled as a high-fashion editorial, with a focus on texture and layering. Shot with soft, diffused lighting to highlight the fabric details, against a minimalist, mottled gray backdrop. The color palette emphasizes earthy tones with a pop of blue, in a post-modern aesthetic. ",2025-04-05 18:40:52,Immagini Generate\immagine_adv_90.jpg
91,3,"Full-body portrait of a male model on a stark white runway, showcasing a postmodern, monochromatic forest green ensemble. The model wears a relaxed-fit, suede-like bomber jacket over a matching collared shirt, paired with wide-leg, high-waisted trousers cinched with a tonal belt. The look is completed with chunky, matte green shoes. Soft, diffused lighting emphasizes the textures of the fabrics, with a shallow depth of field blurring the audience in the background. The composition is clean and minimalist, reflecting a blend of comfort and avant-garde style, reminiscent of Junya Watanabe's deconstructed tailoring. ",2025-04-05 18:41:44,Immagini Generate\immagine_adv_91.jpg
92,4,"Full-body portrait of a 28-year-old Italian man, styled as a PR manager with a postmodern edge, wearing a black military-inspired jacket with fur collar, paired with bordeaux tailored trousers and black riding boots, holding a black leather duffel bag; standing pose, studio lighting, neutral background, high fashion editorial style, Yves Saint Laurent and Junya Watanabe influence, rock and pop music vibe, original and comfortable aesthetic. ",2025-04-05 18:42:10,Immagini Generate\immagine_adv_92.jpg
93,1,"A full-body portrait of a young Italian man, exuding effortless cool in a high-fashion streetwear editorial. He stands confidently against a minimalist grey backdrop, bathed in soft, diffused light that highlights the textures of his outfit. He wears a crisp white ruffled dress shirt, partially unbuttoned at the top, paired with a sleek, tailored black vest. The look is grounded by dark, wide-leg pleated trousers cinched with a black leather belt featuring a subtle designer buckle. His dark, tousled hair and intense gaze add to the rebellious yet refined aesthetic. The overall color palette is muted, emphasizing blacks, whites, and subtle earth tones, creating a sophisticated and edgy vibe. The composition is clean and balanced, focusing on the model and his attire, capturing the essence of modern luxury streetwear.",2025-04-05 18:44:01,Immagini Generate\immagine_adv_93.jpg
94,2,"A full-body portrait of a young Italian man in a streetwear-inspired fashion editorial, standing confidently against a textured concrete wall. He wears a slightly oversized, light brown corduroy shirt-jacket with a relaxed fit, featuring a prominent chest pocket and snap closures. Underneath, a muted olive green button-down shirt with a subtle, abstract pattern adds depth. A loosely draped, bright blue knitted scarf provides a pop of color and unexpected contrast. The look is completed with matching olive green trousers, creating a cohesive and effortlessly cool ensemble. The lighting is soft and diffused, highlighting the textures of the fabrics and casting subtle shadows. The color palette is earthy and muted, with the blue scarf serving as a focal point. The composition is balanced, capturing the entire outfit and conveying a sense of urban sophistication. ",2025-04-05 18:44:52,Immagini Generate\immagine_adv_94.jpg
95,3,"Full-body portrait of a young Italian man, 22 years old, styled in a modern streetwear editorial. He wears a dark brown suede bomber jacket over a matching dark green jumpsuit, cinched at the waist with a woven belt. The wide-leg trousers pool slightly over dark brown suede sneakers. The lighting is soft and diffused, highlighting the textures of the fabrics. Shot on a runway during a fashion show, with a blurred background of spectators.",2025-04-05 18:45:19,Immagini Generate\immagine_adv_95.jpg
96,4,"Full-body portrait of a young Italian man, 22 years old, dressed in a modern military-inspired outfit: a tailored black wool jacket with silver button details and a subtle fur collar, paired with slim-fit brown trousers and sleek black leather riding boots. He holds a black leather duffel bag. Standing pose, confident and stylish. Studio lighting, neutral background, high-fashion editorial style. ",2025-04-05 18:45:51,Immagini Generate\immagine_adv_96.jpg
97,1,"A full-body portrait of a young Italian man in a dramatic, romantic fashion editorial, standing confidently against a soft, diffused grey background. He wears a crisp white dress shirt with elaborate ruffled detailing down the front, paired with a sleek, black velvet vest buttoned halfway. The shirt's sleeves are long, with subtle ruffles at the cuffs. Dark, tailored trousers with a slight pleat complete the look, cinched with a black leather belt featuring a distinctive buckle. The lighting is soft and flattering, emphasizing the textures of the velvet and ruffles, with a subtle chiaroscuro effect. The color palette is primarily black and white, with hints of red in the model's complexion, reminiscent of Yves Saint Laurent's elegant and seductive style. The overall mood is sophisticated and slightly rebellious, capturing the essence of modern romanticism. ",2025-04-05 18:48:10,Immagini Generate\immagine_adv_97.jpg
98,2,"A full-body portrait of a young Italian man with slicked-back dark hair, standing in a dimly lit, textured gray studio. He wears an open, oversized, light brown corduroy shirt-jacket with a large pocket on the chest, paired with a dark gray button-down shirt featuring a subtle, artistic pattern. A loosely draped, bright blue knitted scarf adds a pop of color. The outfit is completed with matching gray trousers. The lighting is soft and moody, enhancing the textures of the fabrics and creating a romantic, slightly melancholic atmosphere. The composition is balanced, focusing on the model and the unique details of the clothing, capturing a sense of effortless elegance and understated seduction. ",2025-04-05 18:49:06,Immagini Generate\immagine_adv_98.jpg
99,3,"Full-body portrait of a young male model, 23 years old, with a romantic gaze, walking confidently on a stark white runway. He is wearing a monochromatic dark red ensemble: a slightly oversized, suede bomber jacket with a high collar, paired with a matching tailored shirt and wide-leg trousers cinched at the waist with a tonal belt. The look is completed with dark red leather loafers. The lighting is soft and diffused, highlighting the texture of the fabrics. The background features a blurred fashion show audience, creating a sense of exclusivity and high fashion. The image is styled as a high-fashion editorial, reminiscent of Yves Saint Laurent's runway shows, with a touch of modern techno aesthetics. ",2025-04-05 18:49:42,Immagini Generate\immagine_adv_99.jpg
100,4,"Full-body portrait of a young Italian man, 23, with dark hair, wearing a tailored black military-style jacket with silver buttons and a subtle fur collar, paired with slim-fit burgundy trousers and high black leather riding boots. He holds a black leather duffel bag in his hand. Standing pose in a dimly lit, romantic setting reminiscent of a classic Yves Saint Laurent campaign, with soft, diffused lighting highlighting the textures of the fabrics. The background is a blurred, dark studio with a hint of red undertones, creating an atmosphere of understated elegance and seduction. Style: fashion editorial. ",2025-04-05 18:50:05,Immagini Generate\immagine_adv_100.jpg
101,5,"A full-body portrait of a woman standing confidently in a dramatic, black faux-leather gown. The dress features a strapless, architectural bodice with a subtle cutout at the midriff, flowing into a sleek, form-fitting skirt with draped detailing at the hem. She wears matching, opera-length gloves that add a touch of gothic elegance. The model stands on a stone floor, with a classical bas-relief sculpture in the background, bathed in soft, diffused sunlight. The image is styled as a high-fashion editorial, with a focus on bold silhouettes and luxurious textures. The color palette is monochromatic, emphasizing the depth and richness of the black tones. ",2025-04-05 18:54:57,Immagini Generate\immagine_adv_101.jpg
102,6,"A full-body portrait of a woman with an elegant and audacious style, standing confidently in a minimalist white studio. She wears a pinstripe grey oversized blazer and a matching skirt, paired with a draped dark brown top that reveals a hint of skin. Black sheer stockings and black pointed-toe heels complete the look. The lighting is soft and diffused, enhancing the textures of the fabrics. The image is styled as a high-fashion editorial, reminiscent of Gucci's bold and sophisticated aesthetic, with a touch of romanticism in the draping of the top. ",2025-04-05 18:55:40,Immagini Generate\immagine_adv_102.jpg
103,7,"A full-body portrait of a woman in a floor-length black silk slip dress with delicate spaghetti straps and a subtle V-neckline, the dress featuring a panel of intricate black lace at the mid-thigh, adding a touch of romantic allure, draped with a luxurious, oversized faux fur stole in deep black, adding a dramatic and opulent touch, she is wearing elegant black pointed-toe heels with a delicate ankle strap, and chic, oversized sunglasses, standing confidently on a runway, the lighting is soft and diffused, creating a moody and elegant atmosphere, the background is a deep, rich burgundy, reminiscent of a Renaissance painting, fashion editorial style. ",2025-04-05 18:56:43,Immagini Generate\immagine_adv_103.jpg
104,8,"Full-body portrait of a woman in a dimly lit, romantic setting, wearing a high-necked, burgundy patent leather jacket cinched at the waist with a matching belt, paired with sleek black flared trousers and a structured black leather handbag. The model stands confidently, the jacket's glossy texture catching the light, emphasizing its bold, elegant design. Soft, diffused lighting enhances the rich colors and creates a moody atmosphere, reminiscent of a high-fashion editorial. The background is a blurred, deep plum, adding depth and focusing attention on the outfit's striking silhouette.",2025-04-05 18:57:19,Immagini Generate\immagine_adv_104.jpg
105,1,"A full-body portrait of a young Italian man with dark hair, standing in a dimly lit studio. He is wearing a crisp white ruffled dress shirt, paired with a tailored black velvet vest buttoned halfway. The vest accentuates his slim waist, and a black leather belt with a subtle buckle cinches his high-waisted, wide-legged black trousers. The lighting is dramatic, casting long shadows and highlighting the textures of the fabrics. The background is a dark, textured wall, adding to the mysterious and original vibe. The image is styled as a high-fashion editorial, reminiscent of Yves Saint Laurent, with a touch of tribalism in the accessories.",2025-04-05 19:00:33,Immagini Generate\immagine_adv_105.jpg
